S.no,Owner,License Plate,Current Route,Location,Distance (m),Time,Static Time (s),Total Time (s),Velocity (m/sec),Previous Hash,Hash,vehicle is in traffic (y/n),vehicle_frequency,traffic_frequency
1,0x146,ABC140,RouteC,LocationH,40000,1731922531.6570444,24,3920,10.20408163265306,0000000000000000000000000000000000000000000000000000000000000000,1e150e095c6aea6acd4ea6cbc1ea4a98d01fff0b58d1ddd8bb4bcd7742a776cf,False,low,low
2,0x146,ABC140,RouteC,LocationI,40000,1731922538.159848,101,5478,7.301935012778387,1e150e095c6aea6acd4ea6cbc1ea4a98d01fff0b58d1ddd8bb4bcd7742a776cf,d35cd583f12ac64306178b88e8442f05bae69f98e27e889f7f4c6fbd47d4b1c8,True,high,high
3,0x146,ABC140,RouteC,LocationJ,40000,1731922543.1630363,147,7401,5.4046750439129845,d35cd583f12ac64306178b88e8442f05bae69f98e27e889f7f4c6fbd47d4b1c8,eba8edca18f465d46a2788ba9e47e5c709275f507e71962c98c8a67238c9dc54,True,high,high
4,0x146,ABC140,RouteC,LocationK,40000,1731922548.1649036,139,8733,4.580327493415779,eba8edca18f465d46a2788ba9e47e5c709275f507e71962c98c8a67238c9dc54,21e6e6de8699a13e1ac7e35b929e07874180cfc073cdfcc3ed17782e9174846e,True,high,high
5,0x146,ABC140,RouteC,LocationL,40000,1731922553.1641183,78,9914,4.03469840629413,21e6e6de8699a13e1ac7e35b929e07874180cfc073cdfcc3ed17782e9174846e,49da330619ad9125a25565e47a2fc90906f29a1fd8a3f021aef0ddc5bfc3cc14,False,high,high
6,0x146,ABC140,RouteD,LocationM,55000,1731922558.1662197,82,11937,4.607522828181285,49da330619ad9125a25565e47a2fc90906f29a1fd8a3f021aef0ddc5bfc3cc14,b7d0cf9c2c515762ab9cd0f6f2df3fb968f2b42a5b8bbf641aeafcdf3b7aebd2,False,high,high
7,0x146,ABC140,RouteD,LocationN,55000,1731922563.1666644,79,13295,4.1368935690109065,b7d0cf9c2c515762ab9cd0f6f2df3fb968f2b42a5b8bbf641aeafcdf3b7aebd2,09174bc43e20e45f8593e4c6920db8fce6c587d1c17e6734221e41b30df1ff50,False,high,high
8,0x146,ABC140,RouteD,LocationO,55000,1731922568.1681323,89,15389,3.5739814152966405,09174bc43e20e45f8593e4c6920db8fce6c587d1c17e6734221e41b30df1ff50,a850d0557b92ab5fcba6567122042d1c0c7f4a5f3e84209f8b641d617ba41fce,False,high,high
9,0x146,ABC140,RouteD,LocationP,55000,1731922573.171672,105,16377,3.3583684435488794,a850d0557b92ab5fcba6567122042d1c0c7f4a5f3e84209f8b641d617ba41fce,46b44d0502110a2bd6669d6b797427830c990bd492b24427ebe5914a4ada8a99,True,high,high
10,0x146,ABC140,RouteD,LocationQ,55000,1731922578.1709137,97,18503,2.9724909474139327,46b44d0502110a2bd6669d6b797427830c990bd492b24427ebe5914a4ada8a99,535f716970b4fa8273cef49591627c49577c237e30f7e49ca77b0da3fee87c30,False,high,high
11,0x146,ABC140,RouteD,LocationR,55000,1731922583.1725807,93,19758,2.783682558963458,535f716970b4fa8273cef49591627c49577c237e30f7e49ca77b0da3fee87c30,eec2a6396b99fedec9b2a7015a72047ca536d1cfd80e88e742f4c55720294847,False,high,high
